,Unnamed: 0,facility,latitude,longitude,altitude,accuracy,kmfl_new,kmfl,nn?,keph_level,county,constituency,sub_county,ward,keph_level_new,Ownership,QQ2,Q2,QQ3,20km_to_level4,10km_to_level4,15km_to_level4,5km_to_level4,7_5km_to_level4,12_5km_to_level4,17_5km_to_level4
25,25,Eclasa Medical Clinic (Nairobi),-1.271834,36.893282,1597.0,18.385,n_5187,n,5187,Level 2,Nairobi,,,Mowlem,Level 2,Private,urban,Urban,Medical Clinic,0,0,0,0,0,0,0
26,26,Bamba Maternity Nursing Home,-3.541846,39.522423,265.1,4.16,n_11238,n,11238,Level 3,Kilifi,Ganze,Ganze,Bamba,Level 3,Private,rural,Rural,Nursing Home,0,0,0,0,0,0,0
27,27,Olchoro Oirowa Dispensary,-0.904235,35.462695,2004.1,4.18,n_21323,n,21323,Level 2,Narok,Narok West,Narok West,Ilmotiook,Level 2,Government/Public entity,rural,Rural,Dispensary,0,0,0,0,0,0,0
28,28,The Mater Hospital-Satelite Clinic(TRM),-1.219235,36.887494,1647.300049,18.25,n_22938,n,22938,Level 2,Nairobi,Roysambu,Roysambu,Roysambu,Level 2,Faith Based Organization,urban,Urban,Medical Center,0,0,0,0,0,0,0
29,29,Emmaus Clinic,-0.580946,35.693306,2574.1,9.88,n_14443,n,14443,Level 2,Nakuru,Kuresoi South,Kuresoi South,Amalo,Level 2,Private,rural,Rural,Medical Clinic,0,0,0,0,0,0,0
30,30,Moi County Referral Hospital (Voi),-3.389982,38.559091,569.900024,12.365,n_11641,n,11641,Level 4,Taita Taveta,Voi,Voi,Mbololo,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
31,31,Kiambu County Referal Hospital,-1.172082,36.830978,1686.800049,17.152,n_10539,n,10539,Level 5,Kiambu,Kiambu,Kiambu Town,Township,Level 5,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
32,32,Murang'a County Refferal Hospital,-0.718766,37.160949,1316.300049,14.978,n_10777,n,10777,Level 4,Murang'a,Kiharu,Kiharu,Township,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
33,33,Meru Teaching And Refferal Hospital,0.050841,37.654352,1573.900024,18.014999,n_12516,n,12516,Level 5,Meru,North Imenti,Imenti North,Municipality,Level 5,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
34,34,Garissa Level 5 Teaching and Referral Hospital,-0.448035,39.652589,132.099991,13.05,n_13346,n,13346,Level 5,Garissa,Garissa Township,Garissa,Waberi,Level 5,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
35,35,Mandera County Refferal Hospital,3.941332,41.861057,193.01416,7.815,n_13402,n,13402,Level 4,Mandera,Mandera East,Mandera East,Neboi,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
36,36,Nyamira County Refferal Hospital,-0.55807,34.929095,1996.9,4.76,n_13912,n,13912,Level 4,Nyamira,West Mugirango,Nyamira,Township,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
37,37,Chiromo Mental Health Hospital Limited - Nyali (Mombasa),-4.037075,39.713938,-10.5,22.669001,n_7687,n,7687,Level 3,Mombasa,,,Mkomani,Level 3,Private,urban,Urban,Hospital,0,0,0,0,0,0,0
38,38,Kandara Sub County Hospital,-0.900993,37.003202,1645.5,4.44,n_10459,n,10459,Level 4,Murang'a,Kandara,Kandara,Ithiru,Level 4,Government/Public entity,rural,Rural,Hospital,0,0,0,0,0,0,0
39,39,Kitale County Referral Hospital,1.016228,35.008746,1899.0,20.0,n_14947,n,14947,Level 4,Trans Nzoia,Kiminini,Kiminini,Hospital,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
40,40,Kerugoya County Refferal Hospital,-0.504857,37.281313,1504.599976,20.0,n_10520,n,10520,Level 4,Kirinyaga,Kirinyaga Central,Kirinyaga Central,Kerugoya,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
41,41,Kisii Teaching And Referral Hospital (Level 6),-0.670798,34.771161,1645.099976,10.408,n_137030,n,137030,Level 5,Kisii,Kitutu Chache South,Kitutu Chache South,Kitutu Central,Level 5,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
42,42,Iten County Referral Hospital,0.675889,35.506687,2332.899902,14.78,n_14586,n,14586,Level 4,Elgeyo-Marakwet,Keiyo North,Keiyo North,Kapchemutwa,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
43,43,Lodwar County Referral Hospital,3.122161,35.601846,487.0,20.1,n_15049,n,15049,Level 4,Turkana,Turkana Central,Turkana Central,Lodwar Township,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
44,44,Samburu County Referral Hospital,1.097932,36.696266,1932.1,6.533,n_15126,n,15126,Level 4,Samburu,Samburu Central,Samburu Central,Maralal,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
45,45,Mama Lucy Kibaki Hospital (Embakasi),-1.274202,36.898791,1596.099976,8.38,n_17411,n,17411,Level 4,Nairobi,Embakasi Central,Embakasi Central,Komarock,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
46,46,Nairobi Women Hospital(Naivasha Branch),-0.712378,36.43003,1885.099976,6.9,n_23999,n,23999,Level 4,Nakuru,Naivasha,Naivasha,Viwandani,Level 4,Private,urban,Urban,Hospital,0,0,0,0,0,0,0
47,47,Mikindani Hospital,-4.006303,39.628007,27.0,17.795,n_26142,n,26142,Level 4,Mombasa,Jomvu,Jomvu,Mikindani,Level 4,Private,urban,Urban,Hospital,0,0,0,0,0,0,0
48,48,Nyali Health Care Limited,-4.028107,39.71668,-12.6,4.966,n_11721,n,11721,Level 3,Mombasa,Nyali,Nyali,Ziwa La Ng'ombe,Level 3,Private,urban,Urban,Medical Clinic,0,0,0,0,0,0,0
49,49,National Spinal Injury Hospital,-1.288197,36.794032,1737.200073,3.48,n_13194,n,13194,Level 6,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Level 6,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
50,50,Appex Hospital,0.635034,34.277354,1140.5,20.0,n_21136,n,21136,Level 4,Busia,Teso North,Teso North,Malaba Central,Level 3,Private,urban,Urban,Medical Center,0,0,0,0,0,0,0
51,51,Karuri Level 4 Hospital,-1.176328,36.752498,1912.099976,7.2,n_10507,n,10507,Level 4,Kiambu,Kiambaa,Kiambaa,Karuri,Level 4,Government/Public entity,rural,Rural,Hospital,0,0,0,0,0,0,0
52,52,Oasis medical centre,-3.929979,39.749269,-105.0,6.58,n_11912,n,11912,Level 2,Kilifi,Kilifi South,Kilifi South,Shimo La Tewa,Level 2,Private,urban,Urban,Medical Center,0,0,0,0,0,0,0
53,53,Runyenjes Sub County Hospital,-0.425194,37.57218,1492.3,3.65,n_12719,n,12719,Level 4,Embu,Runyenjes,Runyenjes,Central Ward,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
54,54,Kinondo Kwetu Community Clinic,-4.375828,39.527196,-9.900001,20.0,n_16547,n,16547,Level 2,Kwale,Msambweni,Msambweni,Kinondo,Level 2,Private,rural,Rural,Medical Clinic,0,0,0,0,0,0,0
55,55,Gatundu Level 5 Hospital,-1.015016,36.906391,1693.599976,8.58,n_10233,n,10233,Level 4,Kiambu,Gatundu South,Gatundu South,Ngenda,Level 4,Government/Public entity,rural,Rural,Hospital,0,0,0,0,0,0,0
56,56,Kilifi County Hospital,-3.631699,39.857124,0.9,14.504,n_11474,n,11474,Level 4,Kilifi,Kilifi North,Kilifi North,Sokoni,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
57,57,Tudor Sub County Hospital,-4.039948,39.663958,-2.9,20.0,n_11861,n,11861,Level 4,Mombasa,Mvita,Mvita,Tudor,Level 4,Government/Public entity,urban,Urban,Medical Center,0,0,0,0,0,0,0
58,58,Kapsabet County Referral Hospital,0.202345,35.103788,2169.4,6.66,n_14749,n,14749,Level 4,Nandi,Emgwen,Emgwen,Kapsabet,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
59,59,Bungoma County Referral Hospital,0.572744,34.560073,1429.5,25.774,n_15828,n,15828,Level 4,Bungoma,Kanduyi,Kanduyi,Township,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
60,60,Kakamega County General Hospital,0.275182,34.758833,1574.2,9.05,n_15915,n,15915,Level 5,Kakamega,Lurambi,Lurambi,Shirere,Level 5,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
61,61,Port Reitz Sub County Hospital,-4.039181,39.603113,28.299999,25.450001,n_36244,n,36244,Level 4,Mombasa,Changamwe,Changamwe,Airport,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
62,62,Machakos Level 5 Hospital,-1.5237,37.267579,1609.099976,14.39,o12438,o,12438,Level 5,Machakos,Machakos Town,Machakos,Machakos Central,Level 5,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
63,63,Reale Hospital Clinic Kitale,1.016022,35.002621,1886.700073,16.518,n_28469,n,28469,Level 2,Trans Nzoia,Saboti,Saboti,Matisi,Level 4,Private,urban,Urban,Hospital,0,0,0,0,0,0,0
64,64,Kitengela West Hospital,-1.488598,36.9553,1557.400024,11.777,n_24733,n,24733,Level 3,Kajiado,Kajiado East,Kajiado East,Kitengela,Level 4,Private,urban,Urban,Hospital,0,0,0,0,0,0,0
65,65,Wananchi Maternity And Nursing Home (Kilifi),-3.624374,39.850733,-2.4,7.4,n_35032,n,35032,Level 4,Kilifi,,,Sokoni,Level 4,Private,urban,Urban,Hospital,0,0,0,0,0,0,0
66,66,Kangema Sub-County Hospital,-0.689923,36.971462,1804.7,3.1,n_10470,n,10470,Level 4,Murang'a,Kangema,Kangema,Muguru,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
67,67,Madiany Sub County Hospital,-0.284112,34.322386,1210.4,3.125,n_13747,n,13747,Level 4,Siaya,Rarieda,Rarieda,South Uyoma,Level 4,Government/Public entity,rural,Rural,Hospital,0,0,0,0,0,0,0
68,68,Meridian Hospital,-3.197506,40.116317,18.6,5.38,n_11381,n,11381,Level 4,Kilifi,Magarini,Magarini,Sabaki,Level 4,Private,urban,Urban,Hospital,0,0,0,0,0,0,0
69,69,Keumbu Sub County Hospital,-0.73448,34.847903,1919.700073,10.77,n_13680,n,13680,Level 4,Kisii,Nyaribari Chache,Nyaribari Chache,Keumbu,Level 4,Government/Public entity,rural,Rural,Hospital,0,0,0,0,0,0,0
70,70,Grace Park Medical Centre (Meru),0.054112,37.644881,1670.3,3.127,n_40711,n,40711,Level 4,Meru,,,Imenti North,Level 4,Private,urban,Urban,Medical Center,0,0,0,0,0,0,0
71,71,Cherangany Sub County Hospital,0.977753,35.221088,1989.5,13.1,n_14379,n,14379,Level 3,Trans Nzoia,Cherangany,Cherangany,Motosiet,Level 3,Government/Public entity,rural,Rural,Health Center,0,0,0,0,0,0,0
72,72,Kapenguria County Referral Hospital,1.237378,35.121295,2092.599854,2.9,n_14701,n,14701,Level 4,West Pokot,Kapenguria,West Pokot,Kapenguria,Level 4,Government/Public entity,rural,Rural,Hospital,0,0,0,0,0,0,0
73,73,Busia County Referral Hospital,0.460455,34.104559,1211.800049,3.9,n_15834,n,15834,Level 4,Busia,Matayos,Matayos,Burumba,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
74,74,Mikulinzi Nursing Home,-1.264395,36.90257,1588.0,7.925,n_21885,n,21885,Level 3,Nairobi,Embakasi West,Embakasi West,Mowlem,Level 3,Private,urban,Urban,Nursing Home,0,0,0,0,0,0,0
75,75,Canspi Hospital Ruaka,-1.209335,36.787569,1737.9,12.325,n_26257,n,26257,Level 2,Kiambu,Kiambaa,Kiambaa,Ndenderu,Level 2,Private,urban,Urban,Medical Center,0,0,0,0,0,0,0
76,76,Wajir County Referral Hospital,1.74745,40.062551,235.299988,7.504,n_13452,n,13452,Level 4,Wajir,Wajir East,Wajir East,Wagberi,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
77,77,Naivasha District Hospital,-0.718527,36.439087,1922.800049,14.145,n_15280,n,15280,Level 4,Nakuru,Naivasha,Naivasha,Viwandani,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
78,78,Webuye Hospital,0.613313,34.764622,1552.7,4.42,n_16161,n,16161,Level 4,Bungoma,Webute West,Webuye West,Matulo,Level 4,Government/Public entity,rural,Rural,Hospital,0,0,0,0,0,0,0
79,79,RFH Healthcare Ruaka,-1.207651,36.783074,1741.599976,13.22,n_28655,n,28655,Level 3,Kiambu,Kiambaa,Kiambaa,Ndenderu,Level 4,Private,urban,Urban,Hospital,0,0,0,0,0,0,0
80,80,Kimbimbi Sub-County Hospital,-0.620085,37.365755,1195.0,7.7,n_10609,n,10609,Level 4,Kirinyaga,Mwea,Kirinyaga South,Nyangati,Level 4,Government/Public entity,rural,Rural,Hospital,0,0,0,0,0,0,0
81,81,Muriranjas Sub-District Hospital,-0.746347,36.973127,1713.599976,5.242,n_10782,n,10782,Level 4,Murang'a,Kiharu,Kiharu,Mugoiri,Level 4,Government/Public entity,rural,Rural,Hospital,0,0,0,0,0,0,0
82,82,Tigoni LEVEL 4 Hospital,-1.12831,36.668633,2177.5,4.475,n_11104,n,11104,Level 4,Kiambu,Limuru,Limuru,Ngecha Tigoni,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
83,83,Malindi Sub-County Hospital,-3.226904,40.125622,9.0,5.1,n_11555,n,11555,Level 4,Kilifi,Malindi,Malindi,Shella,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
84,84,Kangundo Sub county Hospital,-1.29903,37.346423,1583.5,8.867,n_12177,n,12177,Level 4,Machakos,Kangundo,Kangundo,Kangundo Central,Level 4,Government/Public entity,rural,Rural,Hospital,0,0,0,0,0,0,0
85,85,Kitui County Referral Hospital,-1.372793,38.011219,1136.400024,8.04,n_12366,n,12366,Level 4,Kitui,Kitui Central,Kitui Central,Township,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
86,86,Nairobi West Hospital,-1.30648,36.825409,1643.700073,23.6,n_13115,n,13115,Level 4,Nairobi,Langata,Langata,Nairobi West,Level 4,Private,urban,Urban,Hospital,0,0,0,0,0,0,0
87,87,Rachuonyo District Hospital,-0.505939,34.733685,1398.0,4.275,n_14022,n,14022,Level 4,Homa Bay,Kasipul,Rachuonyo South,West Kamagak,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
88,88,Baringo County Referral Hospital,0.484916,35.74235,2013.099976,21.799999,n_14607,n,14607,Level 4,Baringo,Baringo Central,Baringo Central,Kabarnet,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
89,89,Kajiado County Referral Hospital,-1.857235,36.771738,1685.400024,6.432,n_14652,n,14652,Level 4,Kajiado,Kajiado Central,Kajiado Central,Ildamat,Level 4,Government/Public entity,rural,Rural,Hospital,0,0,0,0,0,0,0
90,90,Kapkatet District Hospital,-0.630023,35.193417,1934.200073,15.919,n_14706,n,14706,Level 4,Kericho,Bureti,Bureti,Kapkatet,Level 4,Government/Public entity,rural,Rural,Hospital,0,0,0,0,0,0,0
91,91,Butere Sub County Hospital,0.208201,34.491908,1395.0,3.8,n_15836,n,15836,Level 4,Kakamega,Butere,Butere,Marama Central,Level 4,Government/Public entity,rural,Rural,Hospital,0,0,0,0,0,0,0
92,92,Eastend Doctors,-1.27276,36.845667,1636.300049,21.451,n_24966,n,24966,Level 3,Nairobi,Kamukunji,Kamukunji,Eastleigh North,Level 3,Private,urban,Urban,Medical Center,0,0,0,0,0,0,0
93,93,Rwambwa Sub-county Hospital,0.114453,34.092856,1151.2,9.15,n_14063,n,14063,Level 4,Siaya,Alego Usonga,Alego Usonga,Usonga,Level 4,Government/Public entity,rural,Rural,Hospital,0,0,0,0,0,0,0
94,94,Mogotio Sub County Hospital (Baringo),-0.027337,35.955276,1595.9,3.733,n_20005,n,20005,Level 4,Baringo,Mogotio,Mogotio,Mogotio,Level 4,Government/Public entity,rural,Rural,Hospital,0,0,0,0,0,0,0
95,95,Coast General Teaching and Referral Hospital (Chaani Outreach Centre),-4.031926,39.624172,22.699999,20.0,n_11274,n,11274,Level 3,Mombasa,Changamwe,Changamwe,Chaani,Level 3,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
96,96,Dr. Rasik Kantaria Jalaram Medical Services (Nairobi city),-1.258504,36.80652,1709.050293,22.961,n_13235,n,13235,Level 3,Nairobi,,,Parklands Highridge,Level 3,Faith Based Organization,urban,Urban,Health Center,0,0,0,0,0,0,0
97,97,University of Nairobi Health Services-Main Campus,-1.279232,36.809419,1714.2,6.45,n_13242,n,13242,Level 4,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
98,98,Kirwara Sub District,-0.929247,36.943168,1716.0,4.616,n_10639,n,10639,Level 4,Murang'a,Gatanga,Gatanga,Gatanga,Level 4,Government/Public entity,rural,Rural,Hospital,0,0,0,0,0,0,0
99,99,Mombasa Hospital,-4.064973,39.680912,-7.6,20.0,n_11643,n,11643,Level 4,Mombasa,Mvita,Mvita,Mji Wa Kale/Makadara,Level 4,Private,urban,Urban,Hospital,0,0,0,0,0,0,0
100,100,Gertrudes Childrens Hospital,-1.256284,36.832474,1654.400024,12.001,n_12950,n,12950,Level 4,Nairobi,Westlands,Westlands,Karura,Level 4,Private,urban,Urban,Hospital,0,0,0,0,0,0,0
101,101,Melchezedek Hospital,-1.294553,36.755214,1771.5,20.0,n_13086,n,13086,Level 4,Nairobi,Dagoretti North,Dagoretti North,Kileleshwa,Level 4,Private,urban,Urban,Hospital,0,0,0,0,0,0,0
102,102,Dagoretti Sub-County Hospital Mutuini,-1.288998,36.696347,1871.800049,4.94,n_13105,n,13105,Level 4,Nairobi,Dagoretti South,Dagoretti South,Mutu-ini,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
103,103,Moiben Health Centre,0.513873,35.278711,2090.2,3.933,n_15206,n,15206,Level 3,Uasin Gishu,Moiben,Moiben,Moiben,Level 3,Government/Public entity,rural,Rural,Health Center,0,0,0,0,0,0,0
104,104,Antaliya Hospital,-0.456064,39.64892,124.400002,18.966,n_24035,n,24035,Level 4,Garissa,Garissa Township,Garissa,Iftin,Level 4,Private,urban,Urban,Hospital,0,0,0,0,0,0,0
105,105,Ngara Medical Complex,-1.272384,36.832542,1648.5,13.9,n_24717,n,24717,Level 3,Nairobi,Starehe,Starehe,Ngara,Level 3,Private,urban,Urban,Hospital,0,0,0,0,0,0,0
106,106,Myer Kidney & Health Specialities Hospital,-1.298517,36.811334,1706.700073,14.144,n_30609,n,30609,Level 3,Nairobi,Kibra,Kibra,Woodley/Kenyatta Golf Course,Level 3,Private,urban,Urban,Hospital,0,0,0,0,0,0,0
107,107,Immaculate Heart Hospital Kereita,-0.992999,36.65514,2389.0,9.5,n_10518,n,10518,Level 4,Kiambu,Lari,Lari,Kijabe,Level 4,Faith Based Organization,urban,Urban,Hospital,0,0,0,0,0,0,0
108,108,Wangige Sub-County Hospital,-1.22268,36.72175,1858.5,3.857,n_111700,n,111700,Level 4,Kiambu,Kabete,Kabete,Kabete,Level 4,Government/Public entity,rural,Rural,Hospital,0,0,0,0,0,0,0
109,109,Muthara Sub-District Hospital,0.226842,37.798703,1431.599976,2.216,n_12591,n,12591,Level 4,Meru,Tigania East,Tigania East,Muthara,Level 4,Government/Public entity,rural,Rural,Hospital,0,0,0,0,0,0,0
110,110,Nightingale Medical Centre,-0.083461,34.776159,1167.300049,4.3,n_13856,n,13856,Level 4,Kisumu,Kisumu Central,Kisumu Central,Kondele,Level 4,Private,urban,Urban,Medical Center,0,0,0,0,0,0,0
111,111,Loitokitok Sub County Hospital,-2.9241,37.504893,1764.200073,21.691,n_15051,n,15051,Level 4,Kajiado,Kajiado South,Loitokitok,Kuku,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
112,112,Mbeere Sub-County Hospital,-0.576674,37.642659,1182.200073,5.192,n_16467,n,16467,Level 4,Embu,Mbeere North,Mbeere North,Nthawa,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
113,113,St Akidiva Mindira Hospital-Mabera,-1.234891,34.483993,1711.6,8.05,n_20020,n,20020,Level 4,Migori,Kuria West,Kuria West,Tagare,Level 4,Private,urban,Urban,Medical Center,0,0,0,0,0,0,0
114,114,Eagle Health Care,-1.265895,36.748963,1808.724,11.104,n_21146,n,21146,Level 2,Nairobi,Westlands,Westlands,Kangemi,Level 3,Private,urban,Urban,Hospital,0,0,0,0,0,0,0
115,115,Saifee Foundation Medical  Centre,-4.053393,39.671824,-10.8,20.084999,n_26444,n,26444,Level 3,Mombasa,Mvita,Mvita,Tononoka,Level 3,Faith Based Organization,urban,Urban,Medical Center,0,0,0,0,0,0,0
116,116,Likoni Subcounty Hospital,-4.085069,39.655702,-12.1,13.276,n_11522,n,11522,Level 4,Mombasa,Likoni,Likoni,Timbwani,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
